Entity,Code,Day,stringency_index
Afghanistan,AFG,2021/6/4,41.67
Afghanistan,AFG,2021/6/5,41.67
Afghanistan,AFG,2021/6/6,41.67
Afghanistan,AFG,2021/6/7,41.67
Afghanistan,AFG,2021/6/8,41.67
Afghanistan,AFG,2021/6/9,41.67
Afghanistan,AFG,2021/6/10,41.67
Afghanistan,AFG,2021/6/11,41.67
Afghanistan,AFG,2021/6/12,43.52
Afghanistan,AFG,2021/6/13,43.52
Afghanistan,AFG,2021/6/14,46.3
Afghanistan,AFG,2021/6/15,46.3
Afghanistan,AFG,2021/6/16,46.3
Afghanistan,AFG,2021/6/17,46.3
Afghanistan,AFG,2021/6/18,46.3
Afghanistan,AFG,2021/6/19,46.3
Afghanistan,AFG,2021/6/20,46.3
Afghanistan,AFG,2021/6/21,46.3
Afghanistan,AFG,2021/6/22,46.3
Afghanistan,AFG,2021/6/23,46.3
Afghanistan,AFG,2021/6/24,46.3
Afghanistan,AFG,2021/6/25,46.3
Afghanistan,AFG,2021/6/26,46.3
Afghanistan,AFG,2021/6/27,46.3
Afghanistan,AFG,2021/6/28,46.3
Afghanistan,AFG,2021/6/29,46.3
Afghanistan,AFG,2021/6/30,46.3
Afghanistan,AFG,2021/7/1,46.3
Afghanistan,AFG,2021/7/2,46.3
Afghanistan,AFG,2021/7/3,46.3
Afghanistan,AFG,2021/7/4,46.3
Afghanistan,AFG,2021/7/5,46.3
Afghanistan,AFG,2021/7/6,56.02
Afghanistan,AFG,2021/7/7,56.02
Afghanistan,AFG,2021/7/8,56.02
Afghanistan,AFG,2021/7/9,56.02
Afghanistan,AFG,2021/7/10,56.02
Afghanistan,AFG,2021/7/11,56.02
Afghanistan,AFG,2021/7/12,56.02
Afghanistan,AFG,2021/7/13,56.02
Afghanistan,AFG,2021/7/14,56.02
Afghanistan,AFG,2021/7/15,56.02
Afghanistan,AFG,2021/7/16,56.02
Afghanistan,AFG,2021/7/17,56.02
Afghanistan,AFG,2021/7/18,56.02
Afghanistan,AFG,2021/7/19,56.02
Afghanistan,AFG,2021/7/20,56.02
Afghanistan,AFG,2021/7/21,56.02
Afghanistan,AFG,2021/7/22,56.02
Afghanistan,AFG,2021/7/23,56.02
Afghanistan,AFG,2021/7/24,56.02
Afghanistan,AFG,2021/7/25,56.02
Afghanistan,AFG,2021/7/26,52.31
Afghanistan,AFG,2021/7/27,52.31
Afghanistan,AFG,2021/7/28,52.31
Afghanistan,AFG,2021/7/29,52.31
Afghanistan,AFG,2021/7/30,52.31
Afghanistan,AFG,2021/7/31,52.31
Afghanistan,AFG,2021/8/1,52.31
Afghanistan,AFG,2021/8/2,52.31
Afghanistan,AFG,2021/8/3,52.31
Afghanistan,AFG,2021/8/4,52.31
Afghanistan,AFG,2021/8/5,52.31
Afghanistan,AFG,2021/8/6,52.31
Afghanistan,AFG,2021/8/7,52.31
Afghanistan,AFG,2021/8/8,52.31
Afghanistan,AFG,2021/8/9,52.31
Afghanistan,AFG,2021/8/10,52.31
Afghanistan,AFG,2021/8/11,52.31
Afghanistan,AFG,2021/8/12,52.31
Afghanistan,AFG,2021/8/13,52.31
Afghanistan,AFG,2021/8/14,52.31
Afghanistan,AFG,2021/8/15,22.22
Afghanistan,AFG,2021/8/16,22.22
Afghanistan,AFG,2021/8/17,22.22
Afghanistan,AFG,2021/8/18,22.22
Afghanistan,AFG,2021/8/19,22.22
Afghanistan,AFG,2021/8/20,22.22
Afghanistan,AFG,2021/8/21,22.22
Afghanistan,AFG,2021/8/22,22.22
Afghanistan,AFG,2021/8/23,22.22
Afghanistan,AFG,2021/8/24,22.22
Afghanistan,AFG,2021/8/25,22.22
Afghanistan,AFG,2021/8/26,22.22
Afghanistan,AFG,2021/8/27,22.22
Afghanistan,AFG,2021/8/28,22.22
Afghanistan,AFG,2021/8/29,22.22
Afghanistan,AFG,2021/8/30,18.52
Afghanistan,AFG,2021/8/31,18.52
Afghanistan,AFG,2021/9/1,18.52
Afghanistan,AFG,2021/9/2,18.52
Afghanistan,AFG,2021/9/3,18.52
Afghanistan,AFG,2021/9/4,18.52
Afghanistan,AFG,2021/9/5,18.52
Afghanistan,AFG,2021/9/6,18.52
Afghanistan,AFG,2021/9/7,18.52
Afghanistan,AFG,2021/9/8,18.52
Afghanistan,AFG,2021/9/9,18.52
Afghanistan,AFG,2021/9/10,18.52
Afghanistan,AFG,2021/9/11,18.52
Afghanistan,AFG,2021/9/12,18.52
Afghanistan,AFG,2021/9/13,18.52
Afghanistan,AFG,2021/9/14,18.52
Afghanistan,AFG,2021/9/15,18.52
Afghanistan,AFG,2021/9/16,42.59
Afghanistan,AFG,2021/9/17,42.59
Afghanistan,AFG,2021/9/18,35.19
Afghanistan,AFG,2021/9/19,35.19
